FILENAME,REF_TXT,ASR_QuartzNet15x5Base-En,WER_QuartzNet15x5Base-En
p232_001.wav,please call stella,please call stella,0.0
p232_002.wav,ask her to bring these things with her from the store,ask her to bring these things with her from the store,0.0
p232_003.wav,six spoons of fresh snow bees five thick slabs of blue cheese and maybe a snack wer her brother bob,six spoons of fresh snow bees five thick slabs of blue cheese and maybe a snack were her brother bob,0.05
p232_005.wav,she can scoop these things into three red bags and we will go meet till wednesday at the train station,she can scoop these things into three red bags and we will go meet till wednesday at the train station,0.0
p232_006.wav,when the sunlight strikes raindrops in the air they act as a prism and form a rainbow,when the sunlight strikes raindrops in the air he act as a prism and form a rainbow,0.0588
p232_007.wav,the rainbow is a division of white light into many beautiful colours,the rainbow is a division of white light into many beautiful colours,0.0
p232_009.wav,there is according to legend a boiling pot of gold at one end,there is according to legend a boiling pot of gold at one end,0.0
p232_010.wav,people look but no one ever finds it,people look but no one ever finds,0.125
p232_011.wav,when a man looks for something beyond his reach his friends say he is looking for the pot of gold at the end of the rainbow,when a man looks for something beyond his reach his friends say he is looking for the pot of gold at the end of the rainbow,0.0
p232_012.wav,throughout the centuries people have explained the rainbow in various ways,throughout the centuries people have explained the rainbow in various ways,0.0
p232_013.wav,some have accepted it as a miracle without physical explanation,some have accepted it as a miracle without physical explanation,0.0
p232_014.wav,to the hebrews it was a token that there would be no more universal floods,to the hebrews it was a token that there would be no more universal floods,0.0
p232_015.wav,the greeks used to imagine that it was a sign from the gods to foretel war or heavy rain,the greeks used to imagine that it was a sign from the gods to foretel war or heavy rain,0.0
p232_016.wav,the norsemen considered the rainbow as a bridge over which the gods passed from earth to the home in the sky,the norsemen considered the rainbow as a bridge over which the gods passed from earth to the home in the sky,0.0
p232_017.wav,others have tried to explain their phenomenon physically,others have tried to explain the r phenomenon physically,0.25
p232_019.wav,since then physicists have found that it is not reflection but refraction by the raindrops which causes the rainbow,since then physicists have found that it is not reflection but refraction by the rain drops which causes the rainbow,0.1053
p232_020.wav,many complicated ideas about the rainbow have been formed,many complicated ideas about the rainbow have been formed,0.0
p232_021.wav,the difference in the rainbow depends considerably upon the size of the drops and the width of the coloured band increases as the size of the drops increases,the difference in the rainbow depends considerably upon the size of the drops and the width of the coloured band increases as the size of the drops increases,0.0
p232_022.wav,the actual primary rainbow observed is said to be the effect of superamposition of a number of bows,the actual primary rainbow observed is said to be the effect of supermposition of a number of bows,0.0556
p232_023.wav,if the red of the second bow falls upon the grain of the fust the result is to give a bow with an abnormally wide yellow band since red and green light when mixed from yellow,if the red of the second foe falls upon the grain of the fust the result is to give a bow with an abnormally wide yellow ban is red and green light when mixed from yellow,0.0833
p232_024.wav,this is a very common type of bow one showing mainly red and yellow with little or no green or blue,this is a very common type of bow one showing mainly red and yellow with little or no green or blue,0.0
p232_025.wav,johnson was pretty low,johnson was pretty low,0.0
p232_027.wav,several other countries are also reported to be interested in the format,several other countries are also reported to be interested in the format,0.0
p232_028.wav,they should be so lucky,they should be so lucky,0.0
p232_029.wav,their courage and their honesty should be respected,their courage and their honesty should be respected,0.0
p232_030.wav,they were described us being in a serious but stable condition yesterday,they were described us being in a serious but stable condition yesterday,0.0
p232_031.wav,it's a matter of balance,it's a matter of balance,0.0
p232_032.wav,they did not replace it with a conviction for culpable homicide,they did not replace it with a conviction for colparble mamoside,0.1818
p232_033.wav,i would love it,i would love it,0.0
p232_034.wav,it is marvelous,it is marvelous,0.0
p232_035.wav,other members of the family were too upset to com ent last night,other members of the family were too upset to commet last night,0.1538
p232_036.wav,but it may take some time to confirm the findings,but it may take some time to confirm the findings,0.0
